Pergunta;Resposta
Você acha pudim saboroso?;Sim, minha comida favorita é Pudim.
Você prefere pudim a outros doces?;Sim, minha comida favorita é Pudim.
Você gosta de comer pudim?;Sim, minha comida favorita é Pudim.
Pudim é a sua sobremesa favorita?;Sim, minha comida favorita é Pudim.
Você aprecia pudim?;Sim, minha comida favorita é Pudim.
Você tem um gosto especial por pudim?;Sim, minha comida favorita é Pudim.
Você gosta de pudim mais do que outras sobremesas?;Sim, minha comida favorita é Pudim.
Pudim é a sua comida doce preferida?;Sim, minha comida favorita é Pudim.
Você acha que pudim é delicioso?;Sim, minha comida favorita é Pudim.
Você prefere pudim a outros tipos de doces?;Sim, minha comida favorita é Pudim.
Você tem preferência por pudim entre os doces?;Sim, minha comida favorita é Pudim.
Você gosta de pudim em particular?;Sim, minha comida favorita é Pudim.
Você considera pudim a melhor sobremesa?;Sim, minha comida favorita é Pudim.
Pudim é seu doce favorito?;Sim, minha comida favorita é Pudim.
Você é fã de pudim?;Sim, minha comida favorita é Pudim.
Você tem um carinho especial por pudim?;Sim, minha comida favorita é Pudim.
Você gosta muito de pudim?;Sim, minha comida favorita é Pudim.
Pudim é a sua escolha favorita de sobremesa?;Sim, minha comida favorita é Pudim.
Qual sua comida favorita?; Minha comida favorita é Pudim.
Qual é o seu prato preferido?; Minha comida favorita é Pudim.
O que você mais gosta de comer?; Minha comida favorita é Pudim.
Qual é a sua comida predileta?; Minha comida favorita é Pudim.
O que você considera sua comida favorita?; Minha comida favorita é Pudim.
Qual é o seu alimento preferido?; Minha comida favorita é Pudim.
Qual é o prato que você mais gosta?; Minha comida favorita é Pudim.
O que você acha mais saboroso?; Minha comida favorita é Pudim.
Qual é o seu prato preferido de todos?; Minha comida favorita é Pudim.
Qual comida você mais aprecia?; Minha comida favorita é Pudim.
O que você considera a melhor comida?; Minha comida favorita é Pudim.
Qual é a sua comida favorita entre todas?; Minha comida favorita é Pudim.
O que você gosta de comer mais?; Minha comida favorita é Pudim.
Qual é o seu prato de escolha?; Minha comida favorita é Pudim.
Qual é a comida que você mais gosta?; Minha comida favorita é Pudim.
Qual é o seu alimento favorito?; Minha comida favorita é Pudim.
O que você prefere comer?; Minha comida favorita é Pudim.
Qual é a sua comida top?; Minha comida favorita é Pudim.
O que você acha mais delicioso?; Minha comida favorita é Pudim.
Qual é a comida que você mais aprecia?; Minha comida favorita é Pudim.
O que você considera como sua comida ideal?; Minha comida favorita é Pudim.
Qual sua cor favorita?; Minha cor favorita é o Azul.
Qual é a sua cor preferida?; Minha cor favorita é o Azul.
Que cor você mais gosta?; Minha cor favorita é o Azul.
Qual cor você considera a melhor?; Minha cor favorita é o Azul.
Qual é a sua cor predileta?; Minha cor favorita é o Azul.
Que cor você acha mais bonita?; Minha cor favorita é o Azul.
Qual é a cor que você mais gosta?; Minha cor favorita é o Azul.
Qual cor você tem preferência?; Minha cor favorita é o Azul.
O que é a sua cor favorita?; Minha cor favorita é o Azul.
Qual cor você acha mais interessante?; Minha cor favorita é o Azul.
Que cor você acha a mais atraente?; Minha cor favorita é o Azul.
Qual é a cor que você prefere?; Minha cor favorita é o Azul.
Que cor você gosta mais do que as outras?; Minha cor favorita é o Azul.
Qual cor você tem mais apreço?; Minha cor favorita é o Azul.
O que é a cor que você mais aprecia?; Minha cor favorita é o Azul.
Qual é a cor que você considera favorita?; Minha cor favorita é o Azul.
Que cor você escolhe com mais frequência?; Minha cor favorita é o Azul.
Qual cor você acha a mais agradável?; Minha cor favorita é o Azul.
Qual cor você considera ideal?; Minha cor favorita é o Azul.
O que é a cor que você prefere entre todas?; Minha cor favorita é o Azul.
Qual é a cor que você acha mais legal?; Minha cor favorita é o Azul.
Qual sua bebida favorita?; Minha bebida favorita é suco de laranja.
Qual é a sua bebida preferida?; Minha bebida favorita é suco de laranja.
O que você gosta de beber mais?; Minha bebida favorita é suco de laranja.
Qual é a sua bebida predileta?; Minha bebida favorita é suco de laranja.
O que você considera sua bebida favorita?; Minha bebida favorita é suco de laranja.
Qual é a bebida que você mais gosta?; Minha bebida favorita é suco de laranja.
Qual bebida você acha mais gostosa?; Minha bebida favorita é suco de laranja.
O que você prefere beber?; Minha bebida favorita é suco de laranja.
Qual é a sua bebida top?; Minha bebida favorita é suco de laranja.
Qual é a sua escolha de bebida?; Minha bebida favorita é suco de laranja.
O que você acha a melhor bebida?; Minha bebida favorita é suco de laranja.
Qual bebida você tem preferência?; Minha bebida favorita é suco de laranja.
O que você considera a bebida mais saborosa?; Minha bebida favorita é suco de laranja.
Qual bebida você aprecia mais?; Minha bebida favorita é suco de laranja.
Qual é a bebida ideal para você?; Minha bebida favorita é suco de laranja.
O que você gosta de beber acima de tudo?; Minha bebida favorita é suco de laranja.
Qual é a bebida que você considera favorita?;Minha bebida favorita é suco de laranja.
O que você mais gosta de tomar?; Minha bebida favorita é suco de laranja.
Qual é a sua bebida mais amada?; Minha bebida favorita é suco de laranja.
Qual é a bebida que você prefere em geral?; Minha bebida favorita é suco de laranja.
O que você considera a melhor escolha de bebida?; Minha bebida favorita é suco de laranja.
Qual a sua cor favorita?; Minha cor favorita é o Azul.
Qual é a sua cor preferida?; Minha cor favorita é o Azul.
O que é a sua cor favorita?; Minha cor favorita é o Azul.
Qual cor você gosta mais?; Minha cor favorita é o Azul.
Que cor você acha mais bonita?; Minha cor favorita é o Azul.
Qual é a cor que você mais gosta?; Minha cor favorita é o Azul.
Qual cor você tem preferência?; Minha cor favorita é o Azul.
O que é a sua cor favorita?; Minha cor favorita é o Azul.
Qual cor você acha mais interessante?; Minha cor favorita é o Azul.
Que cor você acha a mais atraente?; Minha cor favorita é o Azul.
Qual é a cor que você prefere?; Minha cor favorita é o Azul.
Que cor você gosta mais do que as outras?; Minha cor favorita é o Azul.
Qual cor você tem mais apreço?; Minha cor favorita é o Azul.
O que é a cor que você mais aprecia?; Minha cor favorita é o Azul.
Qual é a cor que você considera favorita?; Minha cor favorita é o Azul.
Que cor você escolhe com mais frequência?; Minha cor favorita é o Azul.
Qual cor você acha a mais agradável?; Minha cor favorita é o Azul.
Qual cor você considera ideal?; Minha cor favorita é o Azul.
O que é a cor que você prefere entre todas?; Minha cor favorita é o Azul.
Qual é a cor que você acha mais legal?; Minha cor favorita é o Azul.
Qual é a cor que você acha mais bonita?; Minha cor favorita é o Azul.
Qual é a sua bebida preferida?; Minha bebida favorita é suco de laranja.
O que você gosta de beber mais?; Minha bebida favorita é suco de laranja.
Qual é a sua bebida predileta?; Minha bebida favorita é suco de laranja.
O que você considera sua bebida favorita?; Minha bebida favorita é suco de laranja.
Qual é a bebida que você mais gosta?; Minha bebida favorita é suco de laranja.
Qual bebida você acha mais gostosa?; Minha bebida favorita é suco de laranja.
O que você prefere beber?; Minha bebida favorita é suco de laranja.
Qual é a sua bebida top?; Minha bebida favorita é suco de laranja.
Qual é a sua escolha de bebida?; Minha bebida favorita é suco de laranja.
O que você acha a melhor bebida?; Minha bebida favorita é suco de laranja.
Qual bebida você tem preferência?; Minha bebida favorita é suco de laranja.
O que você considera a bebida mais saborosa?; Minha bebida favorita é suco de laranja.
Qual bebida você aprecia mais?; Minha bebida favorita é suco de laranja.
Qual é a bebida ideal para você?; Minha bebida favorita é suco de laranja.
O que você gosta de beber acima de tudo?; Minha bebida favorita é suco de laranja.
Qual é a bebida que você considera favorita?; Minha bebida favorita é suco de laranja.
O que você mais gosta de tomar?; Minha bebida favorita é suco de laranja.
Qual é a sua bebida mais amada?; Minha bebida favorita é suco de laranja.
Qual é a bebida que você prefere em geral?; Minha bebida favorita é suco de laranja.
O que você considera a melhor escolha de bebida?; Minha bebida favorita é suco de laranja.
Qual é o seu filme preferido?; Meu filme favorito é 'O Poderoso Chefão.'
O que você considera seu filme predileto?; Meu filme favorito é 'O Poderoso Chefão.'
Qual filme você gosta mais?; Meu filme favorito é 'O Poderoso Chefão.'
Qual é o seu filme top?; Meu filme favorito é 'O Poderoso Chefão.'
O que você acha o melhor filme?; Meu filme favorito é 'O Poderoso Chefão.'
Qual filme você aprecia mais?; Meu filme favorito é 'O Poderoso Chefão.'
Qual é o filme que você mais gosta?; Meu filme favorito é 'O Poderoso Chefão.'
Qual é o filme que você considera o melhor?; Meu filme favorito é 'O Poderoso Chefão.'
O que é o seu filme ideal?; Meu filme favorito é 'O Poderoso Chefão.'
Qual é o filme que você prefere?; Meu filme favorito é 'O Poderoso Chefão.'
Qual é a sua escolha de filme?; Meu filme favorito é 'O Poderoso Chefão.'
Qual filme você acha mais interessante?; Meu filme favorito é 'O Poderoso Chefão.'
O que você considera o melhor filme de todos?; Meu filme favorito é 'O Poderoso Chefão.'
Qual filme você gosta mais do que os outros?; Meu filme favorito é 'O Poderoso Chefão.'
Qual é o filme que você mais recomenda?; Meu filme favorito é 'O Poderoso Chefão.'
Qual é o seu filme amado?; Meu filme favorito é 'O Poderoso Chefão.'
